Date,Status,NZ,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
29-Mar-20,Recovered,56,5,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Mar-20,Deceased,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Mar-20,Confirmed,525,187,525,2,0,0,0,5,1,0,0,25,0,7,1,0,11,0,5,32,0,0,8,17,0,0,0,0,0,0,3,20,0,17,7,0,24,0,1,0
30-Mar-20,Recovered,63,49,63,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,4,0,0,0,14,0,0,0,0,0,0,0,0,0,2,13,0,6,1,0,0
30-Mar-20,Deceased,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0
31-Mar-20,Confirmed,572,309,572,21,0,1,6,2,1,0,0,23,0,4,7,0,6,1,13,7,0,0,19,82,0,0,0,0,1,0,1,14,0,57,20,0,8,0,15,0
31-Mar-20,Recovered,74,15,74,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
31-Mar-20,Deceased,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
01-Apr-20,Confirmed,625,424,625,67,0,15,3,2,0,0,0,32,0,13,0,0,7,0,9,24,0,0,32,33,0,0,0,0,1,2,4,27,0,110,30,0,13,0,0,0
01-Apr-20,Recovered,82,16,82,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01-Apr-20,Deceased,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
02-Apr-20,Confirmed,704,486,704,38,1,0,5,1,0,0,0,141,0,1,6,3,8,1,14,21,0,0,9,88,1,0,0,0,0,2,1,13,0,75,27,0,11,3,16,0
02-Apr-20,Recovered,92,22,92,0,0,0,3,0,1,0,0,2,0,5,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
02-Apr-20,Deceased,1,14,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03-Apr-20,Confirmed,764,560,764,15,0,7,2,0,0,0,0,93,1,7,9,0,5,0,4,9,1,0,47,64,0,0,0,0,15,0,6,46,0,102,75,0,46,6,0,0
03-Apr-20,Recovered,103,38,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0
03-Apr-20,Deceased,1,14,1,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
04-Apr-20,Confirmed,822,579,822,28,0,3,1,0,1,0,0,59,1,13,26,7,17,0,16,11,0,0,25,148,0,0,0,0,1,0,12,27,0,74,43,0,60,6,0,0
04-Apr-20,Recovered,127,56,127,0,0,0,0,3,0,0,0,8,0,3,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,2,22,0,2,1,0,4,0,0,0
04-Apr-20,Deceased,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
05-Apr-20,Confirmed,882,609,882,64,0,0,0,0,0,0,0,58,0,20,6,1,14,1,7,8,0,0,14,112,0,0,0,0,18,0,3,60,0,86,62,0,44,4,27,0
05-Apr-20,Recovered,156,43,156,3,0,0,0,2,5,0,0,0,0,8,0,0,1,0,1,6,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0
05-Apr-20,Deceased,1,22,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0
06-Apr-20,Confirmed,929,484,929,47,0,0,0,0,0,0,0,22,0,18,20,4,3,1,12,13,0,0,63,121,0,0,0,0,1,0,11,35,0,50,30,1,27,5,0,0
06-Apr-20,Recovered,176,65,176,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,8,3,7,0,8,14,1,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0
06-Apr-20,Deceased,1,16,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
07-Apr-20,Confirmed,918,572,918,11,0,2,6,0,0,0,0,51,0,29,33,9,16,0,12,9,0,0,34,150,0,0,0,0,2,0,20,42,0,69,40,0,27,0,11,0
07-Apr-20,Recovered,241,75,241,0,0,0,6,2,1,0,0,4,0,3,2,1,0,0,5,12,0,0,10,9,0,0,0,0,0,1,10,0,0,6,0,0,0,0,3,0
